"customer_id","store_id","first_name","last_name","email","address_id","activebool","create_date","last_update","active","initials"
524,1,"Jared","Ely","jared.ely@sakilacustomer.org",530,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"J.E."
1,1,"Mary","Smith","mary.smith@sakilacustomer.org",5,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.S."
2,1,"Patricia","Johnson","patricia.johnson@sakilacustomer.org",6,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"P.J."
3,1,"Linda","Williams","linda.williams@sakilacustomer.org",7,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"L.W."
4,2,"Barbara","Jones","barbara.jones@sakilacustomer.org",8,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"B.J."
5,1,"Elizabeth","Brown","elizabeth.brown@sakilacustomer.org",9,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"E.B."
6,2,"Jennifer","Davis","jennifer.davis@sakilacustomer.org",10,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"J.D."
7,1,"Maria","Miller","maria.miller@sakilacustomer.org",11,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.M."
8,2,"Susan","Wilson","susan.wilson@sakilacustomer.org",12,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"S.W."
9,2,"Margaret","Moore","margaret.moore@sakilacustomer.org",13,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.M."
10,1,"Dorothy","Taylor","dorothy.taylor@sakilacustomer.org",14,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"D.T."
11,2,"Lisa","Anderson","lisa.anderson@sakilacustomer.org",15,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"L.A."
12,1,"Nancy","Thomas","nancy.thomas@sakilacustomer.org",16,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"N.T."
13,2,"Karen","Jackson","karen.jackson@sakilacustomer.org",17,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"K.J."
14,2,"Betty","White","betty.white@sakilacustomer.org",18,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"B.W."
15,1,"Helen","Harris","helen.harris@sakilacustomer.org",19,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"H.H."
16,2,"Sandra","Martin","sandra.martin@sakilacustomer.org",20,True,"2006-02-14","2023-04-27 06:36:13.898402",0,"S.M."
17,1,"Donna","Thompson","donna.thompson@sakilacustomer.org",21,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"D.T."
18,2,"Carol","Garcia","carol.garcia@sakilacustomer.org",22,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"C.G."
19,1,"Ruth","Martinez","ruth.martinez@sakilacustomer.org",23,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"R.M."
20,2,"Sharon","Robinson","sharon.robinson@sakilacustomer.org",24,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"S.R."
21,1,"Michelle","Clark","michelle.clark@sakilacustomer.org",25,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.C."
22,1,"Laura","Rodriguez","laura.rodriguez@sakilacustomer.org",26,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"L.R."
23,2,"Sarah","Lewis","sarah.lewis@sakilacustomer.org",27,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"S.L."
24,2,"Kimberly","Lee","kimberly.lee@sakilacustomer.org",28,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"K.L."
25,1,"Deborah","Walker","deborah.walker@sakilacustomer.org",29,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"D.W."
26,2,"Jessica","Hall","jessica.hall@sakilacustomer.org",30,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"J.H."
27,2,"Shirley","Allen","shirley.allen@sakilacustomer.org",31,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"S.A."
28,1,"Cynthia","Young","cynthia.young@sakilacustomer.org",32,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"C.Y."
29,2,"Angela","Hernandez","angela.hernandez@sakilacustomer.org",33,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"A.H."
30,1,"Melissa","King","melissa.king@sakilacustomer.org",34,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.K."
31,2,"Brenda","Wright","brenda.wright@sakilacustomer.org",35,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"B.W."
32,1,"Amy","Lopez","amy.lopez@sakilacustomer.org",36,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"A.L."
33,2,"Anna","Hill","anna.hill@sakilacustomer.org",37,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"A.H."
34,2,"Rebecca","Scott","rebecca.scott@sakilacustomer.org",38,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"R.S."
35,2,"Virginia","Green","virginia.green@sakilacustomer.org",39,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"V.G."
36,2,"Kathleen","Adams","kathleen.adams@sakilacustomer.org",40,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"K.A."
37,1,"Pamela","Baker","pamela.baker@sakilacustomer.org",41,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"P.B."
38,1,"Martha","Gonzalez","martha.gonzalez@sakilacustomer.org",42,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.G."
39,1,"Debra","Nelson","debra.nelson@sakilacustomer.org",43,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"D.N."
40,2,"Amanda","Carter","amanda.carter@sakilacustomer.org",44,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"A.C."
41,1,"Stephanie","Mitchell","stephanie.mitchell@sakilacustomer.org",45,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"S.M."
42,2,"Carolyn","Perez","carolyn.perez@sakilacustomer.org",46,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"C.P."
43,2,"Christine","Roberts","christine.roberts@sakilacustomer.org",47,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"C.R."
44,1,"Marie","Turner","marie.turner@sakilacustomer.org",48,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"M.T."
45,1,"Janet","Phillips","janet.phillips@sakilacustomer.org",49,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"J.P."
46,2,"Catherine","Campbell","catherine.campbell@sakilacustomer.org",50,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"C.C."
47,1,"Frances","Parker","frances.parker@sakilacustomer.org",51,True,"2006-02-14","2023-04-27 06:36:13.898402",1,"F.P."
